date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,territory_status,notes
2026-07-06,2026-07-12,Sullivan County Fair,fair,Sullivan County Exposition Center & Fairgrounds,Sullivan County Fairgrounds,Milan,Sullivan,MO,"All ages, broad community attendance including seniors/65+ population in Sullivan County",implied,County fair with food concessions and commercial/vendor exhibitor opportunities. Fair has a dedicated Fair Vendors section. Proceeds from concessions benefit Sullivan County 4-H. Commercial vendors and exhibitors typically participate at county fairs of this size.,,,,660-265-5683,,https://www.kttn.com/sullivan-county-fair-offers-week-of-activities-july-6-12-2026/,2026-06-28,confirmed,"Confirmed July 6-12, 2026 by two separate KTTN (local north Missouri radio/news) articles. Activities include Fair Queen Pageant (July 7, Milan Community Center), dog show, 4-H judging, livestock shows (rabbit, poultry, goat, sheep, swine, beef, horse), free Farm Bureau breakfast July 11, and Market Animal Premium Sale. Food concessions run throughout the fair. The Sullivan County Exposition Center & Fairgrounds is a community hub for Sullivan County events."
2026-07-07,2026-07-11,Lewis County Fair (49th Annual),fair,Lewis County Fairgrounds,"19322 State Hwy 16, Lewistown, MO 63452",Lewistown,Lewis,MO,"General public / families; county fairs in rural Missouri draw heavy 55+ attendance for livestock shows, pageants, and grandstand events",implied,Vendor application page exists at lewiscountyfair.com; outdoor vendor setup documented (8 am–6 pm); food and commercial vendors accepted annually,,,,573-497-2770,https://lewiscountyfair.wixsite.com/lewiscountyfair,https://lewiscountyfair.wixsite.com/lewiscountyfair,2026-06-28,confirmed,"49th annual fair confirmed for 2026. Exact 2026 dates not publicly confirmed in sources accessed — 2025 (48th annual) ran July 8–12; dates above are estimated based on that pattern. Verify exact 2026 dates at lewiscountyfair.wixsite.com or call 573-497-2770. Features 4-H/FFA livestock shows, carnival, grandstand events, parade, pageants, food vendors. Seniors (60+) historically attend in large numbers."
2026-07-09,2026-07-13,Ralls County Junior Fair,fair,Ralls County Fairgrounds,602 E Hawkins St,Center,Ralls,MO,General public including seniors/families; county fair attracts broad 55+ rural audience,implied,County fairs routinely host commercial vendor booths; specific 2026 vendor application info not publicly confirmed online. Contact Ralls County Extension (573-985-7111) for vendor details.,,,,573-985-7111,,https://local.aarp.org/place/ralls-county-junior-fair-center-mo.html,2026-06-28,confirmed,"Dates July 9-13, 2026 confirmed by multiple search results. The 2025 FairEntry listing (fairentry.com/public/EnterFair/22396) also covers this fair. Located in Center, MO (Ralls County seat area). Historically a 4-H/livestock fair; commercial vendor opportunities are standard for county fairs but a specific 2026 vendor application was not found online."
2026-07-09,2026-09-17,Randolph County Farmers Market,other,Fennel Complex,"315 N Clark St, Moberly, MO 65270",Moberly,Randolph,MO,General public including seniors; SNAP/EBT accepted indicating broad community reach,yes,35+ vendors participate each market day; vendor applications accepted — call 660-263-6643 x 212 or email farmers@randolphcountyhealth.org,Free to attend,,farmers@randolphcountyhealth.org,660-263-6643,,https://nfmd.org/mo/moberly/10001225/,2026-06-28,confirmed,"Held every other Thursday, 4–7 pm, from May 28 through October 1, 2026. Confirmed 2026 dates within the search window: July 9, July 23, Aug 6, Aug 20, Sep 3, Sep 17. Start date listed is first in-window date; end date is last in-window date. Accepts SNAP/EBT with Double Up Food Bucks matching."
2026-07-09,2026-07-20,Linn County Youth Fair,fair,Linn County 4-H/FFA Fairgrounds,29248 Idalis Dr,Brookfield,Linn,MO,General community including families and seniors; 4-H/FFA youth exhibitors with broad public attendance,implied,The fair has commercial vendor booths available via application through the fair organizers. Vendor applications accepted by fair vendor coordinator; contact linncountyyouthfair@gmail.com or (660) 895-5123.,,,linncountyyouthfair@gmail.com,(660) 895-5123,https://www.linncofair.com/,https://www.linncofair.com/,2026-06-28,confirmed,2025 fair ran July 9-20; 2026 dates estimated based on prior year pattern — exact 2026 dates not confirmed on accessible pages as of research date. The fair is a 4-H/FFA youth fair but draws broad community attendance including seniors. Commercial vendor building closes at 9 p.m. nightly. Apply via Eventeny.
2026-07-10,2026-07-12,Mark Twain Old Threshers Show,festival,Paris City Fairgrounds,"Paris, MO 65275",Paris,Monroe,MO,Heritage/agricultural show that consistently draws older adult and senior audiences; retired farmers and rural community members are the primary demographic,yes,Dedicated vendor contact: Darin Maupin at 660-833-7962. Vendors must contact Darin Maupin to secure a booth. Event has explicit vendor program.,,,Darin Maupin (Vendor Contact),info@marktwainoldthreshers.com,https://www.marktwainoldthreshers.com/,https://www.marktwainoldthreshers.com/contact-us.html,2026-06-28,confirmed,"Annual show of antique equipment demonstrating old ways of rural life. Held at Paris City Fairgrounds, Paris, MO 65275. Mailing address: Mark Twain Old Threshers Association Inc. PO Box 14, Paris, MO 65275. Vendor contact Darin Maupin is also Vice President, address 415 E Locust, Paris, MO 65275. Heritage shows of this type draw significant 65+ attendance."
2026-07-11,2026-07-18,Chariton County Youth Fair,fair,Chariton County Fairgrounds,,Salisbury,Chariton,MO,"General public, families, seniors; annual county fair with commercial vendor section",implied,Fair historically includes commercial vendors/exhibitors section open to outside vendors,,Chariton County Extension Center,,660-288-3239,,https://cofairs.com/chariton-county-youth-fair-1620,2026-06-28,confirmed,Annual county youth fair held in early-to-mid July at the Salisbury fairgrounds. 2024 dates were July 7-12; 2026 dates of July 11-18 were cited in search result snippets but the discoverchariton.com events page listed 2026 dates as 'to be announced' as of the search date. Verify exact 2026 dates directly before tabling. Commercial vendors have participated in past years.
2026-07-13,2026-07-18,NEMO Fair,fair,NEMO Fairgrounds,2700 East Illinois Street,Kirksville,Adair,MO,"General public, all ages including seniors; county fair draws broad community attendance",implied,Commercial indoor vendor/exhibitor application available per NEMO Fair website; county fair format with commercial booths standard,,,,nemofair@gmail.com,https://nemofair.net/,https://nemofair.net/2026-nemo-fair/,2026-06-28,confirmed,"5-day fair; opening day July 13 with free admission; runs July 14-18. Features livestock shows, carnival, FFA exhibits, truck and tractor pull, demolition derby, entertainment. Indoor vendor application referenced on fair website."
2026-07-13,2026-07-18,Monroe County Fair,fair,Monroe County Fairgrounds,"415 East Locust, Paris, MO 65275",Paris,Monroe,MO,General public including strong 65+ rural/agricultural community attendance; county fairs in small Missouri counties draw significant senior crowds,implied,Fair has a Commercial Building with vendor/exhibitor spaces. County fairs typically offer commercial booth rental. Contact fair at (660) 327-4158 for vendor application details.,,,,(660) 327-4158,https://monroecounty-fair.org/,https://www.facebook.com/groups/monroecountyfair/posts/1276582643999171/,2026-06-28,confirmed,"Multiple sources confirm July 13-18, 2026 dates at Monroe County Fairgrounds in Paris, MO. Tradeshowz.com lists this as Monroe County Fair 2026 | Paris, MO. Facebook group post title confirms 'July 13-18, 2026*** Location: Monroe County Fairgrounds.' Fair website is monroecounty-fair.org. Has Commercial Building where vendor/exhibitor space is available."
2026-07-15,2026-07-17,Clark County Fair,fair,Clark County A&M Fairgrounds,"23200 E Main St, Kahoka, MO 63445",Kahoka,Clark,MO,General public / all ages including significant senior/65+ attendance; county fair tradition draws older adults,yes,"Commercial vendor booths available in the Commercial Building (8ft x 10ft, $75 each; no food/beverage except pre-packaged). Outside food vendor spaces also available ($100). Vendors must purchase a season ticket or day pass. Applications available on the fair website.","Admission fees apply for fairgoers; vendor booth fees: $75 (commercial/indoor), $100 (outside food vendor)",,,660-342-9561,https://www.clarkcountyfairkahoka.com/vendorinformation,https://www.clarkcountyfairkahoka.com/,2026-06-28,confirmed,"Annual fair established 1882. Events confirmed on July 15 (baking contest, Commercial Building), July 16, and July 17 (IFPA Truck & Tractor Pull, Kid's Pedal Tractor Pull). Also features Demolition Derby, Supercross, Queen Contest, Talent Show, BBQ/Baking/Garden contests, carnival, and vendors. Vendor info page: clarkcountyfairkahoka.com/vendorinformation"
2026-07-15,2026-07-19,Mercer County Fair,fair,Mercer County Fairgrounds,"505 S. Steward St., Princeton, MO 64673",Princeton,Mercer,MO,"All ages; historically includes a dedicated Senior/Democrat Day with bingo, free meals, and vendor booths for seniors 60+",implied,County fair with commercial exhibitor spaces; past Senior Day events have featured vendor booths and community partner tables (Human Service Council and others). Contact Mercer County Extension at 660-748-3315 for exhibitor/vendor applications.,,,,660-748-3315,,https://www.northwestmoinfo.com/local-news/princeton-chamber-discusses-community-market-event-starts/,2026-06-28,confirmed,"2026 fair dates July 15-19 confirmed by multiple sources (tradeshowz.com, kttn.com, northwestmoinfo.com). Fair historically includes a Senior/Democrat Day on Thursday with bingo, door prizes, vendor booths, and free meals. Over 11,000 attend annually. Source also: https://tradeshowz.com/events/13120/mercer-county-fair and wrmj.com article on Senior Day."
2026-07-18,2026-07-22,Audrain County Youth Fair,fair,Audrain County 4-H Fairgrounds,"21509 Hwy D, Mexico, MO 65265",Mexico,Audrain,MO,All ages; county fair draws broad community attendance including seniors/65+ crowd,implied,"County fair includes commercial vendor and exhibitor spaces; preregistration required through FairEntry.com for exhibitors selling at the fair. Fair features commercial vendors, arts & crafts, food, livestock, and youth exhibits.",,,,,https://fairentry.com/public/EnterFair/23782,https://tradeshowz.com/events/13143/audrain-county-youth-fair,2026-06-28,confirmed,Dates reported as July 16-20 by some sources and July 18-22 by others; the July 18-22 range appeared in the most recent references and matches a Thursday-Monday pattern consistent with prior years. Family Day (Sunday) is a free public event. The 2026 fair book was published and applications were being accepted as of early 2026.
2026-07-18,2026-07-23,Randolph County Agricultural Fair,fair,Moberly Motorsports Park,"4081 Hwy 24, Moberly, MO",Moberly,Randolph,MO,"All ages including heavy senior participation; traditional county fair with livestock, crafts, entertainment",implied,Vendor/exhibitor applications available at randolphcountymofair.com; exhibitor agreement and fee form downloadable; online submission accepted,,,,660-269-9656,https://www.randolphcountymofair.com/register-for-the-fair,https://www.randolphcountymofair.com/,2026-06-28,confirmed,Annual Randolph County 4-H and FFA Youth Fair. 2025 dates were July 18–23; 2026 dates of July 18–26 were cited in one search result but could not be independently verified via direct page fetch. Confirm exact 2026 dates at randolphcountymofair.com or by calling 660-269-9656.
2026-07-23,2026-07-26,Macon County Flywheel & Collectibles Show,festival,Macon County Fairgrounds Park,1303 S Missouri St,Macon,Macon,MO,"Antique, heritage, and collectible enthusiasts; audience strongly skews 55+/senior as the event celebrates late 19th and early 20th century machinery and collectibles",yes,Vendor information page exists at macon-flywheel.com/vendor-information; event includes a large flea market with vendor spaces; contact macon.flywheel@gmail.com for vendor details,$10 admission for all 4 days; kids 13 and under free,,,macon.flywheel@gmail.com,https://www.macon-flywheel.com/vendor-information,https://www.macon-flywheel.com/,2026-06-28,confirmed,"July 23-26, 2026 dates confirmed via search results. 40-acre Macon County Park features antique steam engines, tractors, gas engines, machinery, cars, trucks, large flea market, live music, museum tours, food. Audience strongly skews older/senior due to antique/heritage focus. Official vendor information page on club website."
2026-07-28,2026-08-01,Pike County Fair,fair,Pike County Fairgrounds,"15884 Highway 54, Bowling Green, MO 63334",Bowling Green,Pike,MO,General community including seniors/families; county fair with broad demographic attendance,implied,"Commercial vendor booths available; contact Committee Chair Christy Dempsey at 573-213-9876 for booth space. Fair features vendors, food, livestock, live music, rodeo, and more.",Adult admission $20–$25 depending on day; vendor booth fees by application,Christy Dempsey (Commercial Vendor Committee Chair),,573-213-9876,https://pikecountyfair.org/,https://pikecountyfair.org/,2026-06-28,confirmed,"Annual county fair running July 28–August 1, 2026. Commercial vendor/booth space available by contacting Christy Dempsey. Fair includes vendors, food, 4-H/livestock, live music, truck/tractor pull, demolition derby, rodeo. Broad community event with significant senior attendance typical of county fairs."
2026-08-01,2026-08-08,Marion County Fair 2026,fair,Flower City Park (Marion County Fairgrounds),"Flower City Park, N Breckenridge Ave, Palmyra, MO 63461",Palmyra,Marion,MO,General public / seniors (Senior Night debut in 2026; senior discounts all week),yes,Vendor/exhibitor/concessionaire spaces available both outdoor and indoor. Contact office.mcfg@gmail.com for inquiries. Registration via FairEntry at marioncounty.fairentry.com.,General admission tickets; BOGO deal for seniors on Senior Night ($8 for two tickets),,office.mcfg@gmail.com,573-769-0777,https://marioncounty.fairentry.com/,https://www.showmepalmyra.com/marioncountyfair,2026-06-28,confirmed,"Senior Night is making its debut at the Marion County Fair in 2026 with special senior discounts all week. Fair features livestock shows, horse shows, dog shows, arts and crafts exhibits, evening performances, rodeos, merchant vendors, senior citizens day, veterans day, kids days, rides, and fair food. Dates confirmed via multiple sources including allevents.in and Palmyra Chamber of Commerce."
2026-08-01,2026-08-08,Marion County Fair - Senior Night,fair,Marion County Fairgrounds (Flower City Park),N Breckenridge Ave,Palmyra,Marion,MO,General public; Senior Night (new for 2026) specifically targets 65+ with BOGO ticket deal; seniors receive discount all week,implied,Indoor air-conditioned Marketplace with 10x10 booths available for commercial vendors/exhibitors. Email office.mcfg@gmail.com for vendor applications. Senior Night debuts in 2026 with BOGO admission deal for seniors.,,Jamie McCoy,office.mcfg@gmail.com,573-999-5073,https://marioncounty.fairentry.com/,https://allevents.in/palmyra/marion-county-fair-2026/200029837418606,2026-06-28,confirmed,"Fair runs August 1-8, 2026 at Flower City Park, Palmyra, MO 63461 (Marion County, which borders Ralls County to the north). Senior Night is brand new for 2026 - exclusive BOGO deal (2 tickets for $8) on one evening during fair week. Commercial vendor Marketplace confirmed. Additional contacts: Denise Damron 573-795-6437, Dakota Damron 573-501-1493."
2026-08-13,2026-08-15,Higbee Fair,fair,Higbee Fairgrounds,"Higbee, MO",Higbee,Randolph,MO,General community including seniors; traditional small-town county fair draws all ages with heavy senior attendance,implied,Search results confirm the fair includes vendors and activities throughout the multi-day event; contact fair organizers for booth applications,,,,,https://higbeefair.com/,https://moberly.com/higbeefair/,2026-06-28,confirmed,"Annual Higbee Fair in Randolph County includes carnival, musical entertainment, and vendors. Dates August 13–15, 2026 confirmed in search results. Higbee is a city in Randolph County, MO."
2026-08-20,2026-08-22,Mexico Jaycees Soybean Festival,festival,Mexico Village Square,"Village Square, Mexico, MO 65265",Mexico,Audrain,MO,All ages; large community festival draws seniors/65+ along with families and general public,implied,Festival includes craft and retail vendor booths open 8 a.m.-4 p.m. on Saturday. Vendor applications accepted; general vendor and food vendor categories available. Contact Mexico Jaycees at mexicomojaycees@gmail.com for vendor application.,Free admission for attendees; vendor booth fees apply,Mexico Jaycees,mexicomojaycees@gmail.com,800-581-2765,http://www.mexicosoybean.org/,http://www.mexicosoybean.org/,2026-06-28,confirmed,"Annual festival hosted by Mexico Jaycees. Includes parade, live music, car show, carnival, beer garden, cornhole tournament, craft and retail vendors, and food. August 20-22 dates reported by multiple sources for 2026 but noted as tentative/not officially confirmed on some sites; verify directly with organizers."
2026-09-04,2026-09-06,Knox County Corn Festival,festival,Edina Town Square,"107 N. 4th Street, Edina, MO 63537",Edina,Knox,MO,General community; multi-generational; craft shows and community festivals in small rural towns draw a high proportion of seniors 65+,implied,Event explicitly features Courtyard Vendors of all kinds and Food Vendors. Contact: 660-216-1065 or KCcornfest@gmail.com or via Facebook page Knox County Corn Festival - Official.,,,KCcornfest@gmail.com,660-216-1065,https://www.facebook.com/p/Knox-County-Corn-Festival-Official-100070420590637/,https://festivalnet.com/36072/Edina-Missouri/Festivals/Knox-County-Corn-Festival,2026-06-28,confirmed,"Annual festival held the first weekend after Labor Day in Edina, MO. Features craft show, baby show, talent contest, car show, small kids rides, basketball tournament, daily entertainment, raffle prizes, and local group-sponsored meals. 2026 dates (Sept 4-6) confirmed by festivalnet.com and The Edina Sentinel. Vendor categories include courtyard vendors and food vendors."
2026-09-05,,Macon Fork & Cork Artisan Festival,craft fair,Historic Downtown Square,,Macon,Macon,MO,General public; artisan/craft/antique dealer festival with mixed-age audience; 55+ crowd well represented at artisan and antique-dealer events of this type,yes,"Mainstreet Macon Downtown Association actively recruits artisan, crafter, and specialty vendors; call 660-385-2811 for vendor registration; hosted by Macon Area Chamber of Commerce",,,Mainstreet Macon Downtown Association,660-385-2811,http://maconforkandcork.squarespace.com/,https://www.maconmochamber.com/event-calendar/annual-fork-and-cork-festival,2026-06-28,confirmed,"September 5, 2026 date confirmed via multiple search results. Event features high-end visual arts, quality crafters, antique dealers, live musical entertainment, food, and wine on historic downtown square. Vendor recruitment confirmed via centralmoinfo.com report on Mainstreet Macon Downtown Association call for vendors."
2026-09-08,2026-09-12,Putnam County Fair,fair,Putnam County Fairgrounds,"615 N 22nd St, Unionville, MO 63565",Unionville,Putnam,MO,"General county fair audience; attracts broad community including large senior population; includes livestock shows, 4-H, demolition derby, carnival, commercial booths, baby show, entertainment concerts",yes,"Indoor commercial booths available in sizes from 10 ft to 30 ft wide. Open to local businesses, commercial goods, handcrafted wares, government agencies, political parties and candidates, and civic organizations. Priority given to returning vendors. Apply via putnamcountyfairunionvillemo.com.",Daily entry $25 at gate; season pass $50 (through September 4) or $55 at gate; kids 12 and under free,,putnamcountyfair75@gmail.com,1-660-947-2705,https://www.putnamcountyfairunionvillemo.com/,https://www.putnamcountyfairunionvillemo.com/,2026-06-28,confirmed,"Annual county fair held first Tuesday–Saturday following Labor Day. For 2026, Labor Day is September 7, so the fair runs September 8–12, 2026. Confirmed 2026 entertainers include Rhonda Vincent (Sept 9) and Joe Nichols (Sept 12, 7:30 PM). Senior Citizens Day on Wednesday (Sept 9) with free admission for seniors 62+. Source also corroborated by KTTN radio (kttn.com) and Bandsintown/Spotify concert listings."
2026-09-09,,Putnam County Fair — Senior Citizens Day,fair,Putnam County Fairgrounds,"615 N 22nd St, Unionville, MO 63565",Unionville,Putnam,MO,General fair audience with dedicated Senior Citizens Day; seniors 62+ admitted free; senior activities 9am–1pm in Entertainment Tent with music 10am–1pm,yes,"Indoor commercial booths available throughout the fair week (10–30 ft wide); booth types include local businesses, civic organizations, government agencies, and commercial vendors. Fair organizers note that commercial exhibitors are encouraged to staff their booths on Senior Citizens Day.",Seniors 62+ free on Senior Citizens Day; general daily entry $25; season pass $50–$55,,putnamcountyfair75@gmail.com,1-660-947-2705,https://www.putnamcountyfairunionvillemo.com/,https://www.putnamcountyfairunionvillemo.com/,2026-06-28,confirmed,"Senior Citizens Day is held annually on Wednesday of fair week. The 2026 fair runs first Tuesday–Saturday after Labor Day (Sept 7, 2026), placing the fair September 8–12 and Senior Day on September 9. Rhonda Vincent is confirmed to perform September 9 at 7 PM; Joe Nichols performs Saturday September 12. Commercial booth vendor info at putnamcountyfairunionvillemo.com."
